sku_id,sku_desc,brand,report_size,uom,product_type,flavor,pack_type,shelf_life_days,is_active
SKU0001,Cranberry Juice 10oz Bottle,Ocean Spray,10oz,CASE,Juice,Cranberry,Bottle,365,Y
SKU0002,Cranberry Diet Juice 10oz Bottle,Ocean Spray,10oz,CASE,Diet Juice,Cranberry,Bottle,300,Y
SKU0003,Cranberry Grape Juice 10oz Bottle,Ocean Spray,10oz,CASE,Juice,Cranberry Grape,Bottle,365,Y
SKU0004,Cranberry Grape Diet Juice 10oz Bottle,Ocean Spray,10oz,CASE,Diet Juice,Cranberry Grape,Bottle,300,Y
SKU0005,Cranberry Apple Juice 10oz Bottle,Ocean Spray,10oz,CASE,Juice,Cranberry Apple,Bottle,365,Y
SKU0006,Cranberry Apple Diet Juice 10oz Bottle,Ocean Spray,10oz,CASE,Diet Juice,Cranberry Apple,Bottle,300,Y
SKU0007,White Cranberry Juice 10oz Bottle,Ocean Spray,10oz,CASE,Juice,White Cranberry,Bottle,365,Y
SKU0008,White Cranberry Diet Juice 10oz Bottle,Ocean Spray,10oz,CASE,Diet Juice,White Cranberry,Bottle,300,Y
SKU0009,Diet Cranberry Juice 10oz Bottle,Ocean Spray,10oz,CASE,Juice,Diet Cranberry,Bottle,365,Y
SKU0010,Diet Cranberry Diet Juice 10oz Bottle,Ocean Spray,10oz,CASE,Diet Juice,Diet Cranberry,Bottle,300,Y
SKU0011,Cranberry Pineapple Juice 10oz Bottle,Ocean Spray,10oz,CASE,Juice,Cranberry Pineapple,Bottle,365,Y
SKU0012,Cranberry Pineapple Diet Juice 10oz Bottle,Ocean Spray,10oz,CASE,Diet Juice,Cranberry Pineapple,Bottle,300,Y
SKU0013,Cranberry Mango Juice 10oz Bottle,Ocean Spray,10oz,CASE,Juice,Cranberry Mango,Bottle,365,Y
SKU0014,Cranberry Mango Diet Juice 10oz Bottle,Ocean Spray,10oz,CASE,Diet Juice,Cranberry Mango,Bottle,300,Y
SKU0015,Cranberry Raspberry Juice 10oz Bottle,Ocean Spray,10oz,CASE,Juice,Cranberry Raspberry,Bottle,365,Y
